inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,,,,
bshc_puebla,benjaminsaulhuertacorona_puebla,Benjamin Saul Huerta Corona,Licenciatura,Diputado Propietario,Mayoria Relativa,31/03/1958,Puebla,Distrito:11,SI,MORENA,Derecho,,,,
bal_veracruz,bonifacioaguilarlinda_veracruz,Bonifacio Aguilar Linda,Secundaria,Diputado Propietario,Mayoria Relativa,08/05/1976,Veracruz,Distrito:18,SI,MORENA,,,,,
baap_mexico,brasilalbertoacostapena_mexico,Brasil Alberto Acosta Peña,Doctorado,Diputado Propietario,Representacion proporcional,21/06/1970,Mexico,Circunscripcion:5,SI,PRI,Económico-financiera,,,,
bel_morelos,brendaespinozalopez_morelos,Brenda Espinoza Lopez,Licenciatura,Diputada Propietario,Representacion proporcional,19/06/1988,Morelos,Circunscripcion:4,SI,MORENA,Económico-financiera,,,,
camv_chiapas,carlosalbertomoralesvazquez_chiapas,Carlos Alberto Morales Vazquez,Licenciatura,Diputado Propietario,Representacion proporcional,22/08/1972,Chiapas,Circunscripcion:3,SI,SinPartido,Arquitectura y diseño,,,,
caps_zacatecas,carlosalbertopuentesalas_zacatecas,Carlos Alberto Puente Salas,Licenciatura,Diputado Propietario,Representacion proporcional,16/12/1971,Zacatecas,Circunscripcion:2,SI,PVEM,Derecho,,,,
cavg_veracruz,carlosalbertovalenzuelagonzalez_veracruz,Carlos Alberto Valenzuela Gonzalez,Maestría,Diputado Propietario,Representacion proporcional,18/04/1983,Veracruz,Circunscripcion:3,SI,PAN,Ciencias políticas y sociales,,,,
ccm_tlaxcala,carloscarreonmejia_tlaxcala,Carlos Carreon Mejia,Licenciatura,Diputado Propietario,Representacion proporcional,27/05/1973,Tlaxcala,Circunscripcion:4,SI,PAN,Otra,,,,
cema_campeche,carlosenriquemartinezake_campeche,Carlos Enrique Martinez Ake,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,25/04/1977,Campeche,Distrito:1,SI,MORENA,Derecho,,,,
chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Carlos Humberto Castaños Valenzuela,Licenciatura,Diputado Propietario,Representacion proporcional,14/04/1977,Sinaloa,Circunscripcion:1,SI,PAN,Ciencias políticas y sociales,,,,
cjlc_sonora,carlosjavierlamarquecano_sonora,Carlos Javier Lamarque Cano,Licenciatura,Diputado Propietario,Mayoria Relativa,01/08/1953,Sonora,Distrito:6,SI,MORENA,,,,,
cpc_zacatecas,carlospavoncampos_zacatecas,Carlos Pavon Campos,Secundaria,Diputado Propietario,Representacion proporcional,31/10/1955,Zacatecas,Circunscripcion:2,SI,PRI,,,,,
csb_guerrero,carlossanchezbarrios_guerrero,Carlos Sanchez Barrios,Maestría,Diputado Propietario,Mayoria Relativa,17/08/1957,Guerrero,Distrito:7,SI,MORENA,Ciencias políticas y sociales,,,,
ctp_michoacan,carlostorrespina_michoacan,Carlos Torres Piña,Licenciatura,Diputado Propietario,Representacion proporcional,01/03/1979,Michoacan,Circunscripcion:5,SI,MORENA,Derecho,,,,
cjpg_jalisco,carmenjuliaprudenciogonzalez_jalisco,Carmen Julia Prudencio Gonzalez,Licenciatura,Diputada Propietario,Mayoria Relativa,30/06/1977,Jalisco,Distrito:9,SI,MC,Derecho,,,,
cmp_veracruz,carmenmedelpalma_veracruz,Carmen Medel Palma,Maestría,Diputada Propietario,Mayoria Relativa,26/09/1959,Veracruz,Distrito:14,SI,MORENA,Ciencias de la salud,,,,
cmg_veracruz,carmenmoragarcia_veracruz,Carmen Mora Garcia,Secundaria,Diputada Propietario,Mayoria Relativa,14/07/1952,Veracruz,Distrito:9,SI,MORENA,,,,,
cppo_quintana roo,carmenpatriciapalmaolvera_quintana roo,Carmen Patricia Palma Olvera,No disponible,Diputada Propietario,Mayoria Relativa,13/01/1958,Quintana Roo,Distrito:2,SI,MORENA,,,,,
cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Carmina Yadira Regalado Mardueño,Licenciatura,Diputada Propietario,Representacion proporcional,06/11/1967,Nayarit,Circunscripcion:1,SI,MORENA,,,,,
