N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
249,Leticia Mariana Gomez Ordaz,PVEM,México,5ª Circunscripción,Representación proporcional,SI
250,Lidia Garcia Anaya,MORENA,Hidalgo,Distrito 6,Mayoría relativa,SI
251,Lidia Nallely Vargas Hernandez,MORENA,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
252,Lilia Villafuerte Zavala,PVEM,Guanajuato,Distrito 10,Mayoría relativa,SI
254,Lizbeth Mata Lozano,PAN,Baja California,Distrito 1,Mayoría relativa,SI
255,Lizeth Amayrani Guerra Mendez,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
256,Lorena del Socorro Jimenez Andrade,MORENA,Jalisco,Distrito 5,Mayoría relativa,SI
258,Lorenia Iveth Valles Sampedro,MORENA,Sonora,Distrito 3,Mayoría relativa,SI
259,Lourdes Celenia Contreras Gonzalez,MC,Jalisco,Distrito 13,Mayoría relativa,SI
260,Lourdes Erika Sanchez Martinez,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
261,Lucia Flores Olivo,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
262,Lucinda Sandoval Soberanes,MORENA,Sinaloa,1ª Circunscripción,Representación proporcional,SI
263,Lucio De Jesus Jimenez,MORENA,Ciudad de México,5ª Circunscripción,Representación proporcional,SI
264,Lucio Ernesto Palacios Cordero,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
265,Luis Alberto Mendoza Acevedo,PAN,Ciudad de México,Distrito 15,Mayoría relativa,SI
266,Luis Eleusis Leonidas Cordova Moran,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
267,Luis Enrique Martinez Ventura,PT,México,Distrito 32,Mayoría relativa,SI
268,Luis Enrique Miranda Nava,PRI,México,5ª Circunscripción,Representación proporcional,SI
269,Luis Javier Alegre Salazar,MORENA,Quintana Roo,3ª Circunscripción,Representación proporcional,SI
270,Luz Estefania Rosas Martinez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
272,Lyndiana Elizabeth Bugarin Cortes,PVEM,Zacatecas,Distrito 2,Mayoría relativa,SI
273,Ma. de Jesus Garcia Guardado,MORENA,Zacatecas,2a Circunscripción,Representación proporcional,SI
274,Ma. del Carmen Cabrera Lagunas,PES,Guerrero,Distrito 3,Mayoría relativa,SI
275,Madeleine Bonnafoux Alcaraz,PAN,Sonora,1ª Circunscripción,Representación proporcional,SI
276,Ma. de los Angeles Ayala Diaz,PAN,Guanajuato,Distrito 3,Mayoría relativa,SI
277,Ma. Eugenia Leticia Espinosa Rivas,PAN,Guanajuato,Distrito 14,Mayoría relativa,SI
278,Ma. Guadalupe Almaguer Pardo,PRD,San Luis Potosí,Distrito 6,Mayoría relativa,SI
279,Maiella Martha Gabriela Gomez Maldonado,MC,Puebla,Distrito 2,Mayoría relativa,SI
280,Manuela del Carmen Obrador Narvaez,MORENA,Chiapas,Distrito 1,Mayoría relativa,SI
281,Manuel de Jesus Baldenebro Arredondo,PES,Sonora,Distrito 1,Mayoría relativa,SI
282,Manuel Gomez Ventura,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
283,Manuel Huerta Martinez,PT,Guerrero,4ª Circunscripción,Representación proporcional,SI
284,Manuel Lopez Castillo,MORENA,Sonora,1ª Circunscripción,Representación proporcional,SI
285,Manuel Rodriguez Gonzalez,MORENA,Tabasco,Distrito 4,Mayoría relativa,SI
286,Marcela Guillermina Velasco Gonzalez,PRI,México,5ª Circunscripción,Representación proporcional,SI
287,Marcelino Rivera Hernandez,PAN,San Luis Potosí,Distrito 7,Mayoría relativa,SI
288,Marco Antonio Andrade Zavala,MORENA,Chiapas,3ª Circunscripción,Representación proporcional,SI
289,Marco Antonio Carbajal Miranda,MORENA,Sonora,1ª Circunscripción,Representación proporcional,SI
290,Marco Antonio Gomez Alcantar,PVEM,Sinaloa,1ª Circunscripción,Representación proporcional,SI
291,Marco Antonio Gonzalez Reyes,MORENA,México,5ª Circunscripción,Representación proporcional,SI
292,Marco Antonio Medina Perez,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
293,Marco Antonio Reyes Colin,MORENA,México,Distrito 40,Mayoría relativa,SI
294,Marcos Aguilar Vega,PAN,Querétaro,2ª Circunscripción,Representación proporcional,SI
295,Margarita Flores Sanchez,PRI,Nayarit,1ª Circunscripción,Representación proporcional,SI
296,Margarita Garcia Garcia,PT,Oaxaca,Distrito 3,Mayoría relativa,SI
297,Maria Aleman Muñoz Castillo,PRI,Querétaro,2ª Circunscripción,Representación proporcional,SI
298,Maria Beatriz Lopez Chavez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
299,Maria Bertha Espinoza Segura,MORENA,Veracruz,Distrito 3,Mayoría relativa,SI
300,Maria Chavez Perez,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
