N°	Diputada / Diputado	Grupo Parlamentario	Entidad federativa	Distrito / Circunscripción	Tipo de elección	Fecha de recepción	En funciones	Carta
123	Erwin Jorge Areizaga Uribe	MORENA	Baja California	Distrito 6	Mayoría relativa	22 de diciembre del 2020	En funciones	
124	Esmeralda de los Ángeles Moreno Medina	PES	México	Distrito 26	Mayoría relativa	16 de diciembre del 2020	En funciones	
125	Esteban Barajas Barajas	MORENA	Michoacán	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
126	Estela Núñez Álvarez	MORENA	Tabasco	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
127	Eulalio Juan Ríos Fararoni	MORENA	Veracruz	Distrito 20	Mayoría relativa	17 de diciembre del 2020	En funciones	
128	Evaristo Lenin Pérez Rivera	SP	Coahuila	Distrito 1	Mayoría relativa	22 de diciembre del 2020	En funciones	
129	Fabiola Raquel Guadalupe Loya Hernández	MC	Jalisco	Distrito 6	Mayoría relativa	16 de diciembre del 2020	En funciones	
130	Feliciano Flores Anguiano	MORENA	Michoacán	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
131	Felipe Fernando Macías Olvera	PAN	Querétaro	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
132	Felipe Rafael Arvizu De la Luz	MORENA	México	Distrito 12	Mayoría relativa	17 de diciembre del 2020	En funciones	
133	Fernando Donato De las Fuentes Hernández	PRI	Coahuila	7	Mayoría relativa	30 de diciembre del 2020	En funciones	
134	Fernando Galindo Favela	PRI	Ciudad de México	4ª Circunscripción	Representación proporcional	21 de diciembre del 2020	En funciones	
135	Fernando Luis Manzanilla Prieto	PES	Puebla	Distrito 12	Mayoría relativa	16 de diciembre del 2020	En funciones	
136	Fernando Torres Graciano	PAN	Guanajuato	2ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
137	Flora Tania Cruz Santos	MORENA	Veracruz	Distrito 11	Mayoría relativa	17 de diciembre del 2020	En funciones	
138	Fortunato Rivera Castillo	MORENA	Hidalgo	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
139	Francisco Elizondo Garrido	MORENA	Nuevo León	2ª Circunscripción	Representación proporcional	18 de diciembre del 2020	En funciones	
140	Francisco Favela Peñuñuri	PT	México	Distrito 5	Mayoría relativa	14 de diciembre del 2020	En funciones	
141	Francisco Javier Borrego Adame	MORENA	Coahuila	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
142	Francisco Javier Guzmán De la Torre	MORENA	Jalisco	1ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
143	Francisco Javier Huacus Esquivel	PT	Michoacán	Distrito 12	Mayoría relativa	15 de diciembre del 2020	En funciones	
144	Francisco Javier Luévano Núñez	PAN	Aguascalientes	Distrito 1	Mayoría relativa	16 de diciembre del 2020	En funciones	
145	Francisco Javier Ramírez Navarrete	MORENA	México	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
146	Francisco Javier Saldivar Camacho	PES	Ciudad de México	Distrito 7	Mayoría relativa	16 de diciembre del 2020	En funciones	
147	Frida Alejandra Esparza Márquez	PRD	Zacatecas	2ª Circunscripción	Representación proporcional	21 de diciembre del 2020	En funciones	
148	Frinné Azuara Yarzábal	PRI	San Luis Potosí	2ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
149	Geraldina Isabel Herrera Vega	MC	Jalisco	Distrito 10	Mayoría relativa	16 de diciembre del 2020	En funciones	
150	Gloria Romero León	PAN	Hidalgo	5ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
151	Gonzalo Herrera Pérez	MORENA	Michoacán	Distrito 7	Mayoría relativa	17 de diciembre del 2020	En funciones	
152	Graciela Sánchez Ortiz	MORENA	México	Distrito 21	Mayoría relativa	17 de diciembre del 2020	En funciones	
153	Graciela Zavaleta Sánchez	MORENA	Oaxaca	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
154	Guadalupe Ramos Sotelo	MORENA	Ciudad de México	Distrito 24	Mayoría relativa	22 de diciembre del 2020	En funciones	
155	Guadalupe Romo Romo	PAN	Jalisco	3	Mayoría relativa	28 de diciembre del 2020	En funciones	
156	Gustavo Callejas Romero	MORENA	Hidalgo	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
157	Gustavo Contreras Montes	MORENA	México	Distrito 8	Mayoría relativa	17 de diciembre del 2020	En funciones	
158	Héctor Guillermo de Jesús Jiménez y Meneses	MORENA	Puebla	Distrito 13	Mayoría relativa	17 de diciembre del 2020	En funciones	
159	Héctor Joel Villegas González	PES	Tamaulipas	Distrito 3	Mayoría relativa	16 de diciembre del 2020	En funciones	
160	Héctor René Cruz Aparicio	PES	Baja California	Distrito 8	Mayoría relativa	16 de diciembre del 2020	En funciones	
161	Héctor Serrano Cortés	PT	Ciudad de México	4ª Circunscripción	Representación proporcional	18 de diciembre del 2020	En funciones	
162	Héctor Yunes Landa	PRI	Veracruz	3ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
163	Heriberto Marcelo Aguilar Castillo	MORENA	Sonora	Distrito 4	Mayoría relativa	17 de diciembre del 2020	En funciones	
164	Hernán Salinas Wolberg	PAN	Nuevo León	Distrito 1	Mayoría relativa	16 de diciembre del 2020	En funciones	
165	Higinio Del Toro Pérez	MC	Jalisco	Distrito 19	Mayoría relativa	16 de diciembre del 2020	En funciones	
166	Hilda Patricia Ortega Nájera	MORENA	Durango	Distrito 4	Mayoría relativa	17 de diciembre del 2020	En funciones	
167	Hildelisa González Morales	PT	Sonora	Distrito 7	Mayoría relativa	15 de diciembre del 2020	En funciones	
168	Hirepan Maya Martínez	MORENA	Michoacán	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
